Model,Accuracy (%)
"ResNet50 [Prasetyo 2022, benchmark]",78.82
"Swin-T + ExtraTrees + LGBM [Hoang 2025, SOTA]",85.99
swin_tiny_hier_ord 24-class (ours),88.46 +/- 0.97
swin_tiny_hier_ord freshness-only (ours),88.57 +/- 0.82
swin_tiny_hier_ord + ExtraTrees hybrid (ours),89.98
swin_tiny_hier_ord + LightGBM hybrid (ours),89.41
