baseline,candidate,n,accuracy_delta_mean,accuracy_delta_std,paired_t,paired_p,qwk_delta_mean,mae_delta_mean,severe_delta_mean
clahe_center_global,raw_center_global,5,0.02346241457858773,0.009132947697826656,5.744427281291543,0.004551444681307671,0.07303548605907455,-0.04829157175398635,-21.8
species_plus_clahe_center,species_plus_raw_center,5,0.021867881548974944,0.00641261424157592,7.625294119579618,0.0015881870003231888,0.059951657717926675,-0.0421412300683371,-17.8
species_only,raw_center_global,5,0.21070615034168566,0.008785449100536179,53.628820797851425,7.236894441276715e-07,0.3530818350513284,-0.3551252847380411,-126.8
