feature_set,n_seeds,accuracy_mean,accuracy_std,qwk_mean,mae_mean,severe_mean
species_only,5,0.3706150341685649,0.0006238297921471133,0.06495864900271826,0.8927107061503416,231.2
raw_full_global,5,0.5738041002277904,0.00957668474240451,0.3889493887457278,0.5562642369020502,114.2
raw_center_global,5,0.5813211845102505,0.008659033170272544,0.4180404840540467,0.5375854214123007,104.4
clahe_center_global,5,0.5578587699316628,0.015851497423878664,0.34500499799497214,0.585876993166287,126.2
species_plus_raw_center,5,0.5915717539863327,0.013634166060724718,0.4329867020467087,0.5246013667425968,102.0
species_plus_clahe_center,5,0.5697038724373577,0.015182706546226015,0.373035044328782,0.5667425968109339,119.8
