feature,global_rho,global_p,species_n,mean_rho,median_rho,mean_abs_rho,consistent_species,feature_family
clahe_center_hsv_s_p10,-0.03599985308562346,0.017063395886513358,8,-0.04371018599463676,0.01724762156916522,0.1498037343445751,4,clahe_center
clahe_center_gray_p90,0.12255795288419358,3.6769234233347367e-16,8,0.14721994888032927,0.1646273057028908,0.14743178904958165,7,clahe_center
clahe_center_hsv_v_p50,0.010913357909695089,0.4697396136418932,8,-0.009245148305850073,0.020002258337568087,0.1461740483379512,5,clahe_center
clahe_center_lab_l_p90,0.12047643914952615,1.153342590496092e-15,8,0.14605151916305772,0.1606374369862073,0.14605151916305772,8,clahe_center
clahe_center_hsv_v_p90,0.10953735290782603,3.401520455169934e-13,8,0.11651825359015056,0.14946909984082823,0.14464528857219955,7,clahe_center
clahe_center_gray_p50,-0.0016309330158629704,0.9139717758549644,8,0.0002488975322659098,0.051883185838076246,0.1444548463144879,3,clahe_center
clahe_center_lab_l_p50,-0.004702882254271251,0.7554112625716598,8,-0.0015223814081048587,0.0515485788128138,0.14210015235260326,3,clahe_center
clahe_center_lab_a_p90_p10,0.03303928972505469,0.02859241423483167,8,0.037631463740426106,0.0729297527327511,0.13906052859138035,5,clahe_center
clahe_center_gray_gloss_p99_p90,0.018962251259245694,0.20906577804212859,8,0.010057121652489953,0.020648082981730518,0.1390229191901078,4,clahe_center
clahe_center_lab_l_gloss_p99_p90,0.007923228798433104,0.5997022754299369,8,-0.0034272282809748797,0.007979173642806398,0.13748336321337845,4,clahe_center
clahe_center_lab_b_p90,-0.0621692160861995,3.7565457629484414e-05,8,-0.06660618989897601,-0.089065450474002,0.13481950665925352,5,clahe_center
clahe_center_hsv_s_p99,-0.03092691030140545,0.040458870043374014,8,-0.038889958963496174,0.007148325124898349,0.13355735588727038,4,clahe_center
clahe_center_hsv_v_p99,0.10987442785823706,2.877769964196138e-13,8,0.12647367788202496,0.11316661545502665,0.1334283063364975,7,clahe_center
clahe_center_hsv_s_std,-0.014321800987205539,0.34277368921514806,8,-0.012101089947218993,0.03557126999353153,0.1314477509955278,3,clahe_center
clahe_center_hsv_s_p90_p10,0.00647725726932979,0.6678894533756948,8,0.003945124328879276,0.02509673178938688,0.13137344091852315,5,clahe_center
clahe_center_lab_a_p99,-0.04636951477670116,0.0021185709759822245,8,-0.04833096256764792,-0.04812390304587173,0.1293477493451513,5,clahe_center
