epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1224,0.0778,3.0416,0.1264,0.000100
2,2.9604,0.1579,2.9171,0.1834,0.000100
3,2.7967,0.2156,2.7815,0.2346,0.000100
4,2.6064,0.2718,2.6348,0.2608,0.000100
5,2.4242,0.3292,2.4871,0.3052,0.000100
6,2.1585,0.4081,2.1996,0.4214,0.000030
7,1.8599,0.5057,1.9751,0.4738,0.000030
8,1.6524,0.5683,1.7697,0.5330,0.000030
9,1.4683,0.6253,1.6080,0.5649,0.000030
10,1.2922,0.6834,1.4696,0.5866,0.000030
11,1.1648,0.7187,1.3610,0.6162,0.000030
12,1.0746,0.7418,1.2848,0.6367,0.000030
13,0.9727,0.7923,1.2123,0.6549,0.000030
14,0.9097,0.8147,1.1633,0.6720,0.000029
15,0.8352,0.8508,1.1278,0.6788,0.000029
16,0.7757,0.8671,1.0939,0.6925,0.000029
17,0.7243,0.8941,1.0725,0.7050,0.000029
18,0.6783,0.9157,1.0609,0.7050,0.000029
19,0.6302,0.9351,1.0344,0.7164,0.000029
20,0.6065,0.9419,1.0146,0.7267,0.000029
21,0.5655,0.9582,0.9917,0.7392,0.000029
22,0.5350,0.9666,1.0098,0.7437,0.000029
23,0.5184,0.9700,0.9835,0.7608,0.000028
24,0.5001,0.9719,0.9672,0.7551,0.000028
25,0.4769,0.9856,0.9705,0.7654,0.000028
26,0.4630,0.9909,0.9615,0.7654,0.000028
27,0.4536,0.9897,0.9526,0.7768,0.000028
28,0.4500,0.9897,0.9694,0.7733,0.000028
29,0.4379,0.9916,0.9577,0.7756,0.000027
30,0.4314,0.9958,0.9619,0.7802,0.000027
31,0.4281,0.9951,0.9602,0.7790,0.000027
32,0.4243,0.9951,0.9823,0.7733,0.000027
33,0.4227,0.9954,0.9714,0.7733,0.000027
34,0.4155,0.9958,0.9646,0.7813,0.000026
35,0.4182,0.9947,0.9709,0.7790,0.000026
36,0.4113,0.9951,0.9826,0.7813,0.000026
37,0.4172,0.9928,0.9647,0.7859,0.000026
38,0.4088,0.9962,0.9586,0.7836,0.000026
39,0.4053,0.9962,0.9714,0.7904,0.000025
40,0.4065,0.9962,0.9914,0.7882,0.000025
41,0.4004,0.9989,0.9473,0.7927,0.000025
42,0.4001,0.9981,0.9703,0.7904,0.000025
43,0.4018,0.9958,0.9919,0.7893,0.000024
44,0.4060,0.9947,0.9873,0.7870,0.000024
45,0.3976,0.9981,0.9834,0.7745,0.000024
46,0.4018,0.9973,0.9891,0.7893,0.000024
47,0.3973,0.9966,0.9955,0.7847,0.000023
48,0.3948,0.9985,0.9763,0.8007,0.000023
49,0.3926,0.9981,0.9776,0.7927,0.000023
50,0.3935,0.9992,0.9842,0.7870,0.000023
51,0.3898,0.9989,0.9904,0.7904,0.000022
52,0.3918,0.9981,0.9811,0.7882,0.000022
53,0.3914,0.9981,0.9934,0.7790,0.000022
54,0.3873,0.9996,1.0030,0.7882,0.000021
55,0.3866,0.9989,0.9941,0.7893,0.000021
56,0.3862,0.9973,1.0257,0.7802,0.000021
57,0.3865,0.9992,0.9994,0.7825,0.000021
58,0.3917,0.9977,0.9982,0.7825,0.000020
59,0.3855,0.9973,1.0313,0.7836,0.000020
60,0.3846,0.9981,1.0229,0.7870,0.000020
61,0.3854,0.9981,1.0147,0.7825,0.000019
62,0.3805,0.9996,1.0147,0.7733,0.000019
63,0.3797,0.9992,1.0239,0.7745,0.000019
64,0.3820,0.9981,1.0172,0.7711,0.000018
65,0.3811,0.9985,1.0296,0.7699,0.000018
66,0.3804,0.9992,1.0168,0.7847,0.000018
67,0.3806,0.9989,1.0190,0.7745,0.000018
68,0.3787,0.9996,0.9976,0.7882,0.000017
69,0.3812,0.9981,1.0218,0.7768,0.000017
70,0.3794,0.9992,1.0184,0.7847,0.000017
71,0.3791,0.9985,1.0234,0.7859,0.000016
72,0.3763,0.9996,1.0088,0.7882,0.000016
73,0.3783,0.9992,1.0096,0.7904,0.000016
