epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1065,0.0995,2.9296,0.1925,0.000100
2,2.8508,0.1948,2.6847,0.2574,0.000100
3,2.6206,0.2547,2.4344,0.3109,0.000100
4,2.3921,0.3064,2.2192,0.3542,0.000100
5,2.1990,0.3527,2.0390,0.4077,0.000100
6,1.8584,0.4468,1.6550,0.4875,0.000030
7,1.5143,0.5566,1.4252,0.5729,0.000030
8,1.3055,0.6386,1.2771,0.6196,0.000030
9,1.1652,0.6940,1.1971,0.6412,0.000030
10,1.0574,0.7255,1.1394,0.6640,0.000030
11,0.9597,0.7749,1.0755,0.6959,0.000030
12,0.8809,0.8144,1.0374,0.6982,0.000030
13,0.7951,0.8591,0.9928,0.7141,0.000030
14,0.7290,0.8891,1.0120,0.7164,0.000029
15,0.6791,0.9089,0.9471,0.7506,0.000029
16,0.6172,0.9385,0.9607,0.7415,0.000029
17,0.5844,0.9434,0.9106,0.7699,0.000029
18,0.5358,0.9670,0.9301,0.7688,0.000029
19,0.5078,0.9746,1.0088,0.7267,0.000029
20,0.4798,0.9825,0.9267,0.7654,0.000029
21,0.4591,0.9875,0.9710,0.7642,0.000029
22,0.4313,0.9935,0.9455,0.7745,0.000029
23,0.4222,0.9951,0.9705,0.7768,0.000028
24,0.4151,0.9962,0.9828,0.7654,0.000028
25,0.4013,0.9958,1.0059,0.7620,0.000028
26,0.3957,0.9977,0.9559,0.7813,0.000028
27,0.3856,0.9992,0.9586,0.7870,0.000028
28,0.3830,0.9996,0.9754,0.7825,0.000028
29,0.3790,1.0000,0.9907,0.7711,0.000027
30,0.3766,1.0000,0.9848,0.7756,0.000027
31,0.3737,1.0000,0.9933,0.7779,0.000027
32,0.3721,1.0000,0.9962,0.7802,0.000027
33,0.3733,0.9992,1.0032,0.7768,0.000027
34,0.3737,0.9985,0.9995,0.7756,0.000026
35,0.3682,1.0000,1.0054,0.7802,0.000026
36,0.3686,1.0000,1.0293,0.7847,0.000026
37,0.3667,1.0000,1.0098,0.7813,0.000026
38,0.3663,1.0000,1.0228,0.7790,0.000026
39,0.3645,1.0000,1.0234,0.7802,0.000025
40,0.3690,0.9981,1.0640,0.7677,0.000025
41,0.3810,0.9958,1.2249,0.7426,0.000025
42,0.4162,0.9822,1.0614,0.7483,0.000025
43,0.3784,0.9954,1.0430,0.7733,0.000024
44,0.3716,0.9977,1.0658,0.7677,0.000024
45,0.3727,0.9966,1.0423,0.7699,0.000024
46,0.3762,0.9954,1.0497,0.7733,0.000024
47,0.3637,0.9996,1.0349,0.7779,0.000023
48,0.3621,1.0000,1.0168,0.7768,0.000023
49,0.3608,1.0000,1.0080,0.7813,0.000023
50,0.3597,1.0000,1.0203,0.7870,0.000023
51,0.3585,1.0000,1.0276,0.7790,0.000022
52,0.3586,1.0000,1.0204,0.7836,0.000022
