epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1038,0.0721,3.0203,0.1036,0.000100
2,3.0014,0.1355,2.9179,0.1948,0.000100
3,2.8958,0.1834,2.8042,0.2415,0.000100
4,2.7971,0.2137,2.7141,0.2540,0.000100
5,2.6933,0.2323,2.6075,0.3030,0.000100
6,2.3117,0.3052,2.0121,0.3770,0.000030
7,1.8975,0.4203,1.7039,0.4738,0.000030
8,1.6000,0.5490,1.4516,0.5786,0.000030
9,1.3660,0.6374,1.2538,0.6515,0.000030
10,1.1885,0.7027,1.1644,0.6811,0.000030
11,1.0387,0.7707,1.0725,0.7130,0.000030
12,0.9282,0.8007,1.0359,0.7118,0.000030
13,0.8303,0.8470,0.9843,0.7335,0.000030
14,0.7449,0.8876,0.9442,0.7528,0.000029
15,0.6901,0.8971,0.9538,0.7426,0.000029
16,0.6309,0.9222,0.9632,0.7460,0.000029
17,0.5825,0.9389,0.9253,0.7722,0.000029
18,0.5400,0.9552,0.9256,0.7597,0.000029
19,0.5203,0.9586,0.9379,0.7597,0.000029
20,0.5026,0.9670,0.9437,0.7574,0.000029
21,0.4872,0.9689,0.9379,0.7768,0.000029
22,0.4641,0.9818,0.9266,0.7620,0.000029
23,0.4534,0.9814,0.9168,0.7779,0.000028
24,0.4368,0.9897,0.9559,0.7733,0.000028
25,0.4282,0.9920,0.9037,0.7916,0.000028
26,0.4241,0.9920,0.9345,0.7745,0.000028
27,0.4239,0.9879,0.9610,0.7688,0.000028
28,0.4165,0.9928,0.9513,0.7699,0.000028
29,0.4163,0.9913,1.0314,0.7768,0.000027
30,0.4324,0.9863,0.9702,0.7813,0.000027
31,0.4119,0.9935,1.0127,0.7711,0.000027
32,0.4018,0.9977,0.9643,0.7756,0.000027
33,0.3973,0.9970,0.9482,0.7768,0.000027
34,0.3978,0.9962,0.9789,0.7768,0.000026
35,0.3977,0.9958,0.9538,0.7779,0.000026
36,0.3970,0.9962,0.9563,0.7756,0.000026
37,0.3917,0.9977,0.9732,0.7745,0.000026
38,0.3948,0.9962,0.9925,0.7802,0.000026
39,0.3846,0.9989,0.9537,0.7688,0.000025
40,0.3866,0.9973,0.9442,0.7870,0.000025
41,0.3841,0.9985,0.9495,0.7859,0.000025
42,0.3797,0.9992,0.9587,0.7847,0.000025
43,0.3840,0.9973,0.9860,0.7699,0.000024
44,0.3811,0.9989,0.9664,0.7756,0.000024
45,0.3814,0.9962,0.9707,0.7836,0.000024
46,0.3822,0.9962,0.9797,0.7688,0.000024
47,0.3796,0.9966,0.9830,0.7756,0.000023
48,0.3763,0.9981,0.9832,0.7711,0.000023
49,0.3839,0.9970,0.9877,0.7733,0.000023
50,0.3808,0.9985,0.9912,0.7802,0.000023
