epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1211,0.0923,2.9303,0.1959,0.000100
2,2.8763,0.1762,2.6817,0.2642,0.000100
3,2.6378,0.2449,2.4050,0.3246,0.000100
4,2.3943,0.3083,2.1661,0.3884,0.000100
5,2.1923,0.3523,1.9799,0.4271,0.000100
6,1.8267,0.4579,1.5373,0.5319,0.000030
7,1.4840,0.5532,1.3229,0.6287,0.000030
8,1.2749,0.6359,1.1972,0.6583,0.000030
9,1.1438,0.6970,1.1044,0.6868,0.000030
10,1.0241,0.7547,1.0782,0.6879,0.000030
11,0.9473,0.7923,0.9976,0.7346,0.000030
12,0.8445,0.8364,0.9527,0.7392,0.000030
13,0.7707,0.8705,0.9285,0.7483,0.000030
14,0.6956,0.9013,0.9063,0.7620,0.000029
15,0.6404,0.9260,0.8780,0.7870,0.000029
16,0.5856,0.9434,0.8751,0.7756,0.000029
17,0.5435,0.9567,0.8525,0.8007,0.000029
18,0.5066,0.9704,0.8656,0.7927,0.000029
19,0.4673,0.9841,0.8617,0.7859,0.000029
20,0.4476,0.9863,0.8703,0.7870,0.000029
21,0.4371,0.9897,0.8837,0.7813,0.000029
22,0.4309,0.9875,0.8709,0.8064,0.000029
23,0.4043,0.9962,0.9282,0.7882,0.000028
24,0.4060,0.9939,0.9050,0.7768,0.000028
25,0.3966,0.9962,0.8943,0.8075,0.000028
26,0.3889,0.9992,0.8838,0.8030,0.000028
27,0.3827,0.9992,0.8745,0.8121,0.000028
28,0.3790,0.9996,0.9068,0.7950,0.000028
29,0.4204,0.9852,0.9576,0.7870,0.000027
30,0.4006,0.9909,0.9325,0.7859,0.000027
31,0.3780,0.9992,0.9286,0.7973,0.000027
32,0.3719,1.0000,0.9149,0.8018,0.000027
33,0.3703,1.0000,0.9130,0.7938,0.000027
34,0.3672,1.0000,0.9123,0.8075,0.000026
35,0.3675,0.9992,0.9321,0.7995,0.000026
36,0.3707,0.9977,0.9076,0.8121,0.000026
37,0.3674,0.9992,0.9286,0.8087,0.000026
38,0.3647,0.9996,0.9155,0.8041,0.000026
39,0.3634,1.0000,0.8934,0.8121,0.000025
40,0.3622,1.0000,0.9137,0.8018,0.000025
41,0.3613,1.0000,0.9262,0.7961,0.000025
42,0.3623,0.9996,0.9569,0.7916,0.000025
43,0.3650,0.9989,0.9512,0.8007,0.000024
44,0.3643,0.9992,0.9651,0.7950,0.000024
45,0.3602,1.0000,0.9400,0.7995,0.000024
46,0.3593,1.0000,0.9326,0.8075,0.000024
47,0.3585,1.0000,0.9391,0.7916,0.000023
48,0.3583,1.0000,0.9473,0.8030,0.000023
49,0.3582,1.0000,0.9266,0.8052,0.000023
50,0.3579,1.0000,0.9462,0.8052,0.000023
51,0.3569,1.0000,0.9351,0.8030,0.000022
52,0.3565,1.0000,0.9401,0.8018,0.000022
