epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.0994,0.0919,3.0357,0.1105,0.000100
2,2.9979,0.1329,2.9459,0.1868,0.000100
3,2.9121,0.1693,2.8579,0.1970,0.000100
4,2.8108,0.2027,2.7551,0.2255,0.000100
5,2.7091,0.2354,2.6664,0.2506,0.000100
6,2.3253,0.3109,2.0656,0.3394,0.000030
7,1.8558,0.4582,1.6685,0.4886,0.000030
8,1.5288,0.5790,1.3852,0.5911,0.000030
9,1.2803,0.6549,1.2333,0.6276,0.000030
10,1.1107,0.7274,1.1479,0.6743,0.000030
11,0.9868,0.7783,1.0808,0.6902,0.000030
12,0.8724,0.8318,1.0466,0.6970,0.000030
13,0.7881,0.8591,0.9986,0.7255,0.000030
14,0.7165,0.8838,1.0414,0.7198,0.000029
15,0.6418,0.9180,1.0442,0.7153,0.000029
16,0.5864,0.9370,1.0059,0.7437,0.000029
17,0.5430,0.9617,0.9985,0.7426,0.000029
18,0.5340,0.9544,1.0186,0.7403,0.000029
19,0.4949,0.9727,1.0513,0.7278,0.000029
20,0.4797,0.9772,1.0531,0.7244,0.000029
21,0.4713,0.9776,1.0201,0.7460,0.000029
22,0.4518,0.9837,1.0381,0.7346,0.000029
23,0.4448,0.9852,1.0192,0.7415,0.000028
24,0.4394,0.9879,1.0312,0.7460,0.000028
25,0.4252,0.9920,1.0296,0.7415,0.000028
26,0.4177,0.9947,1.0525,0.7392,0.000028
27,0.4256,0.9890,0.9998,0.7540,0.000028
28,0.4240,0.9909,1.0505,0.7551,0.000028
29,0.4143,0.9920,1.0341,0.7403,0.000027
30,0.4115,0.9935,1.0614,0.7403,0.000027
31,0.4057,0.9939,1.0220,0.7494,0.000027
32,0.4028,0.9958,1.0190,0.7642,0.000027
33,0.4149,0.9901,1.0208,0.7540,0.000027
34,0.4020,0.9939,1.0467,0.7449,0.000026
35,0.4040,0.9947,1.0086,0.7574,0.000026
36,0.3942,0.9970,1.0233,0.7585,0.000026
37,0.3939,0.9958,1.0257,0.7585,0.000026
38,0.3980,0.9954,1.0204,0.7665,0.000026
39,0.3898,0.9989,1.0113,0.7597,0.000025
40,0.3895,0.9973,1.0367,0.7574,0.000025
41,0.3919,0.9947,1.0292,0.7551,0.000025
42,0.3883,0.9977,1.0220,0.7620,0.000025
43,0.3802,0.9996,1.0355,0.7608,0.000024
44,0.3796,1.0000,1.0120,0.7574,0.000024
45,0.3795,0.9992,1.0161,0.7642,0.000024
46,0.3771,0.9996,1.0146,0.7528,0.000024
47,0.3786,0.9996,1.0187,0.7654,0.000023
48,0.3848,0.9962,1.0713,0.7506,0.000023
49,0.3805,0.9977,1.0161,0.7620,0.000023
50,0.3753,0.9992,1.0125,0.7665,0.000023
51,0.3775,0.9985,1.0173,0.7597,0.000022
52,0.3742,0.9992,1.0211,0.7654,0.000022
53,0.3744,0.9989,0.9992,0.7642,0.000022
54,0.3750,0.9992,1.0394,0.7472,0.000021
55,0.3731,0.9992,1.0288,0.7677,0.000021
56,0.3775,0.9981,1.0152,0.7642,0.000021
57,0.3771,0.9977,1.0369,0.7654,0.000021
58,0.3730,0.9992,1.0330,0.7528,0.000020
59,0.3759,0.9973,1.0538,0.7620,0.000020
60,0.3762,0.9985,1.0234,0.7654,0.000020
61,0.3718,0.9989,1.0232,0.7608,0.000019
62,0.3701,0.9996,1.0167,0.7699,0.000019
63,0.3693,0.9992,1.0219,0.7631,0.000019
64,0.3679,1.0000,1.0006,0.7847,0.000018
65,0.3695,0.9996,1.0301,0.7688,0.000018
66,0.3692,0.9992,1.0379,0.7642,0.000018
67,0.3689,0.9992,1.0348,0.7642,0.000018
68,0.3697,0.9996,1.0319,0.7665,0.000017
69,0.3679,0.9989,1.0239,0.7688,0.000017
70,0.3699,0.9977,1.0815,0.7711,0.000017
71,0.3638,1.0000,1.0212,0.7677,0.000016
72,0.3644,0.9996,1.0245,0.7711,0.000016
73,0.3721,0.9973,1.0185,0.7677,0.000016
74,0.3696,0.9985,1.0079,0.7677,0.000015
75,0.3747,0.9962,1.0559,0.7574,0.000015
76,0.3724,0.9966,1.0743,0.7654,0.000015
77,0.3661,0.9985,1.0127,0.7813,0.000014
78,0.3653,0.9992,1.0346,0.7642,0.000014
79,0.3672,0.9992,1.0186,0.7722,0.000014
80,0.3640,1.0000,1.0382,0.7688,0.000013
81,0.3637,0.9996,1.0339,0.7745,0.000013
82,0.3615,1.0000,1.0389,0.7620,0.000013
83,0.3617,1.0000,1.0386,0.7711,0.000013
84,0.3615,1.0000,1.0199,0.7756,0.000012
85,0.3605,1.0000,1.0195,0.7768,0.000012
86,0.3621,0.9996,1.0203,0.7711,0.000012
87,0.3611,1.0000,1.0242,0.7699,0.000011
88,0.3628,1.0000,1.0233,0.7688,0.000011
89,0.3631,0.9996,1.0573,0.7642,0.000011
