epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1222,0.0892,2.9098,0.1959,0.000100
2,2.8419,0.1906,2.6416,0.2563,0.000100
3,2.6035,0.2658,2.3880,0.3246,0.000100
4,2.3791,0.3094,2.1741,0.3702,0.000100
5,2.2013,0.3466,2.0109,0.4021,0.000100
6,1.8602,0.4191,1.6189,0.4966,0.000030
7,1.5289,0.5319,1.4240,0.5478,0.000030
8,1.3416,0.5995,1.2892,0.6082,0.000030
9,1.1914,0.6762,1.2099,0.6264,0.000030
10,1.0692,0.7304,1.1149,0.6640,0.000030
11,0.9868,0.7593,1.0643,0.6948,0.000030
12,0.8757,0.8246,1.0262,0.6948,0.000030
13,0.8059,0.8546,0.9918,0.7062,0.000030
14,0.7683,0.8622,1.0026,0.7118,0.000029
15,0.6822,0.9047,0.9695,0.7392,0.000029
16,0.6187,0.9332,0.9588,0.7289,0.000029
17,0.5641,0.9499,0.9829,0.7244,0.000029
18,0.5249,0.9624,0.9752,0.7358,0.000029
19,0.4999,0.9715,0.9732,0.7460,0.000029
20,0.4743,0.9776,0.9523,0.7540,0.000029
21,0.4500,0.9837,0.9503,0.7620,0.000029
22,0.4346,0.9886,0.9936,0.7631,0.000029
23,0.4167,0.9932,0.9904,0.7574,0.000028
24,0.4105,0.9943,1.0072,0.7597,0.000028
25,0.3958,0.9985,1.0604,0.7449,0.000028
26,0.3917,0.9981,1.0295,0.7472,0.000028
27,0.3889,0.9985,1.0384,0.7563,0.000028
28,0.3967,0.9951,1.0577,0.7563,0.000028
29,0.3861,0.9985,1.0606,0.7620,0.000027
30,0.3802,0.9981,1.0587,0.7540,0.000027
31,0.3755,0.9996,1.0447,0.7620,0.000027
32,0.3730,0.9996,1.0683,0.7642,0.000027
33,0.3705,1.0000,1.0503,0.7631,0.000027
34,0.3725,0.9981,1.0770,0.7631,0.000026
35,0.3686,1.0000,1.0872,0.7608,0.000026
36,0.3664,1.0000,1.0553,0.7585,0.000026
37,0.3673,0.9992,1.0811,0.7563,0.000026
38,0.3671,0.9996,1.1131,0.7597,0.000026
39,0.3650,1.0000,1.1441,0.7437,0.000025
40,0.3677,0.9989,1.0962,0.7733,0.000025
41,0.3920,0.9886,1.1949,0.7198,0.000025
42,0.3937,0.9909,1.0620,0.7563,0.000025
43,0.3744,0.9970,1.1301,0.7506,0.000024
44,0.3671,0.9985,1.1208,0.7563,0.000024
45,0.3755,0.9951,1.1190,0.7642,0.000024
46,0.3872,0.9920,1.1353,0.7506,0.000024
47,0.3799,0.9947,1.0687,0.7733,0.000023
48,0.3646,0.9996,1.1326,0.7620,0.000023
49,0.3615,1.0000,1.0845,0.7745,0.000023
50,0.3602,1.0000,1.1005,0.7677,0.000023
51,0.3604,0.9996,1.0911,0.7768,0.000022
52,0.3594,1.0000,1.1065,0.7699,0.000022
53,0.3584,1.0000,1.1054,0.7733,0.000022
54,0.3583,1.0000,1.1099,0.7722,0.000021
55,0.3576,1.0000,1.1094,0.7779,0.000021
56,0.3576,1.0000,1.1099,0.7813,0.000021
57,0.3572,1.0000,1.1096,0.7790,0.000021
58,0.3566,1.0000,1.1246,0.7699,0.000020
59,0.3563,1.0000,1.1130,0.7779,0.000020
60,0.3565,1.0000,1.1085,0.7768,0.000020
61,0.3559,1.0000,1.1097,0.7756,0.000019
62,0.3557,1.0000,1.1142,0.7711,0.000019
63,0.3556,1.0000,1.1211,0.7790,0.000019
64,0.3555,1.0000,1.1168,0.7756,0.000018
65,0.3551,1.0000,1.1184,0.7711,0.000018
66,0.3548,1.0000,1.1230,0.7768,0.000018
67,0.3546,1.0000,1.1171,0.7756,0.000018
68,0.3548,1.0000,1.1182,0.7779,0.000017
69,0.3544,1.0000,1.1621,0.7733,0.000017
70,0.3545,1.0000,1.1249,0.7722,0.000017
71,0.3539,1.0000,1.1263,0.7790,0.000016
72,0.3538,1.0000,1.1244,0.7745,0.000016
73,0.3540,1.0000,1.1221,0.7790,0.000016
74,0.3535,1.0000,1.1305,0.7768,0.000015
75,0.3536,1.0000,1.1387,0.7665,0.000015
76,0.3532,1.0000,1.1356,0.7813,0.000015
77,0.3532,1.0000,1.1329,0.7768,0.000014
78,0.3532,1.0000,1.1355,0.7836,0.000014
79,0.3532,1.0000,1.1312,0.7790,0.000014
80,0.3528,1.0000,1.1368,0.7779,0.000013
81,0.3528,1.0000,1.1304,0.7836,0.000013
82,0.3528,1.0000,1.1361,0.7813,0.000013
83,0.3523,1.0000,1.1325,0.7768,0.000013
84,0.3524,1.0000,1.1270,0.7779,0.000012
85,0.3527,1.0000,1.1340,0.7779,0.000012
86,0.3527,1.0000,1.1382,0.7768,0.000012
87,0.3523,1.0000,1.1366,0.7756,0.000011
88,0.3523,1.0000,1.1348,0.7790,0.000011
89,0.3524,1.0000,1.1391,0.7813,0.000011
90,0.3522,1.0000,1.1424,0.7779,0.000010
91,0.3521,1.0000,1.1385,0.7745,0.000010
92,0.3518,1.0000,1.1470,0.7779,0.000010
93,0.3520,1.0000,1.1518,0.7722,0.000010
94,0.3518,1.0000,1.1476,0.7745,0.000009
95,0.3516,1.0000,1.1480,0.7745,0.000009
96,0.3515,1.0000,1.1505,0.7711,0.000009
97,0.3517,1.0000,1.1461,0.7790,0.000008
98,0.3514,1.0000,1.1479,0.7768,0.000008
99,0.3514,1.0000,1.1442,0.7779,0.000008
100,0.3513,1.0000,1.1470,0.7790,0.000008
