epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1080,0.1014,3.0073,0.1765,0.000100
2,2.9339,0.1781,2.8659,0.2073,0.000100
3,2.7672,0.2399,2.7179,0.2551,0.000100
4,2.5918,0.2813,2.5674,0.2927,0.000100
5,2.4003,0.3459,2.4273,0.3280,0.000100
6,2.1504,0.4096,2.1685,0.4077,0.000030
7,1.8535,0.5270,1.9116,0.4852,0.000030
8,1.6288,0.5847,1.7401,0.5319,0.000030
9,1.4540,0.6291,1.5722,0.5797,0.000030
10,1.2970,0.6792,1.4382,0.6128,0.000030
11,1.1734,0.7225,1.3385,0.6253,0.000030
12,1.0646,0.7487,1.2622,0.6435,0.000030
13,0.9790,0.7878,1.1884,0.6651,0.000030
14,0.8933,0.8246,1.1331,0.6697,0.000029
15,0.8391,0.8352,1.1019,0.6777,0.000029
16,0.7881,0.8591,1.0831,0.6788,0.000029
17,0.7348,0.8975,1.0671,0.6970,0.000029
18,0.6820,0.9112,1.0177,0.7096,0.000029
19,0.6459,0.9218,1.0218,0.7175,0.000029
20,0.6138,0.9370,0.9789,0.7346,0.000029
21,0.5808,0.9465,0.9910,0.7210,0.000029
22,0.5462,0.9620,0.9677,0.7426,0.000029
23,0.5253,0.9685,0.9742,0.7369,0.000028
24,0.5045,0.9787,0.9471,0.7574,0.000028
25,0.4848,0.9833,0.9398,0.7642,0.000028
26,0.4746,0.9860,0.9287,0.7699,0.000028
27,0.4567,0.9894,0.9213,0.7631,0.000028
28,0.4460,0.9897,0.9444,0.7540,0.000028
29,0.4458,0.9901,0.9164,0.7802,0.000027
30,0.4342,0.9935,0.9280,0.7688,0.000027
31,0.4315,0.9928,0.9218,0.7836,0.000027
32,0.4282,0.9928,0.9357,0.7733,0.000027
33,0.4216,0.9924,0.9410,0.7733,0.000027
34,0.4192,0.9924,0.9520,0.7711,0.000026
35,0.4161,0.9947,0.9184,0.7779,0.000026
36,0.4125,0.9954,0.9232,0.7745,0.000026
37,0.4078,0.9981,0.9159,0.7836,0.000026
38,0.4047,0.9977,0.9215,0.7847,0.000026
39,0.4059,0.9947,0.9579,0.7711,0.000025
40,0.4052,0.9966,0.9361,0.7916,0.000025
41,0.4033,0.9954,0.9468,0.7711,0.000025
42,0.4023,0.9962,0.9438,0.7745,0.000025
43,0.3956,0.9985,0.9182,0.7836,0.000024
44,0.3933,0.9992,0.9401,0.7802,0.000024
45,0.3923,0.9992,0.9531,0.7779,0.000024
46,0.3926,0.9985,0.9184,0.7882,0.000024
47,0.3886,0.9992,0.9493,0.7802,0.000023
48,0.3919,0.9966,0.9450,0.7893,0.000023
49,0.3906,0.9977,0.9419,0.7961,0.000023
50,0.3943,0.9951,0.9516,0.7904,0.000023
51,0.3988,0.9951,0.9469,0.7836,0.000022
52,0.3917,0.9970,0.9592,0.7813,0.000022
53,0.3931,0.9958,0.9455,0.7870,0.000022
54,0.3864,0.9989,0.9503,0.7882,0.000021
55,0.3836,0.9992,0.9600,0.7870,0.000021
56,0.3854,0.9981,0.9438,0.7893,0.000021
57,0.3852,0.9992,0.9312,0.7813,0.000021
58,0.3806,0.9996,0.9457,0.7847,0.000020
59,0.3817,0.9996,0.9445,0.7870,0.000020
60,0.3804,0.9996,0.9528,0.7904,0.000020
61,0.3804,0.9996,0.9383,0.7893,0.000019
62,0.3818,0.9985,0.9502,0.7882,0.000019
63,0.3799,0.9992,0.9490,0.7882,0.000019
64,0.3793,0.9992,0.9439,0.7813,0.000018
65,0.3779,0.9996,0.9419,0.8018,0.000018
66,0.3786,0.9992,0.9360,0.7973,0.000018
67,0.3790,0.9996,0.9412,0.7859,0.000018
68,0.3777,0.9996,0.9401,0.7859,0.000017
69,0.3778,0.9989,0.9404,0.7893,0.000017
70,0.3773,0.9989,0.9685,0.7882,0.000017
71,0.3761,0.9992,0.9251,0.8018,0.000016
72,0.3780,0.9992,0.9652,0.7882,0.000016
73,0.3749,0.9996,0.9348,0.7950,0.000016
74,0.3743,0.9996,0.9472,0.7938,0.000015
75,0.3773,0.9985,0.9459,0.7961,0.000015
76,0.3752,0.9989,0.9390,0.7973,0.000015
77,0.3771,0.9989,0.9493,0.7950,0.000014
78,0.3731,1.0000,0.9530,0.7893,0.000014
79,0.3734,1.0000,0.9352,0.7950,0.000014
80,0.3741,0.9985,0.9497,0.7916,0.000013
81,0.3720,0.9996,0.9413,0.7893,0.000013
82,0.3739,0.9992,0.9757,0.7802,0.000013
83,0.3725,0.9992,0.9365,0.7950,0.000013
84,0.3746,0.9992,0.9672,0.7790,0.000012
85,0.3729,0.9985,0.9503,0.7904,0.000012
86,0.3718,0.9996,0.9480,0.7927,0.000012
87,0.3714,1.0000,0.9520,0.7882,0.000011
88,0.3726,0.9989,0.9441,0.7950,0.000011
89,0.3714,0.9996,0.9530,0.7950,0.000011
90,0.3717,0.9985,0.9565,0.7984,0.000010
