epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.0993,0.0915,3.0372,0.1093,0.000100
2,2.9951,0.1382,2.9281,0.2118,0.000100
3,2.8865,0.1872,2.8166,0.2210,0.000100
4,2.7714,0.2210,2.7026,0.2483,0.000100
5,2.6536,0.2536,2.6033,0.2585,0.000100
6,2.2321,0.3288,1.9732,0.3747,0.000030
7,1.7433,0.4939,1.5812,0.5285,0.000030
8,1.4270,0.6082,1.3167,0.6185,0.000030
9,1.1908,0.6959,1.1739,0.6708,0.000030
10,1.0425,0.7456,1.0884,0.7039,0.000030
11,0.9266,0.8007,1.0320,0.7289,0.000030
12,0.8268,0.8390,1.0273,0.7198,0.000030
13,0.7549,0.8694,0.9640,0.7551,0.000030
14,0.6922,0.8979,0.9918,0.7449,0.000029
15,0.6268,0.9248,1.0190,0.7198,0.000029
16,0.5729,0.9396,0.9804,0.7472,0.000029
17,0.5331,0.9609,0.9854,0.7506,0.000029
18,0.5208,0.9579,0.9769,0.7551,0.000029
19,0.4876,0.9746,1.0187,0.7460,0.000029
20,0.4767,0.9757,0.9951,0.7517,0.000029
21,0.4689,0.9749,1.0025,0.7722,0.000029
22,0.4567,0.9776,0.9773,0.7654,0.000029
23,0.4499,0.9829,0.9799,0.7688,0.000028
24,0.4426,0.9833,0.9945,0.7699,0.000028
25,0.4220,0.9913,0.9789,0.7699,0.000028
26,0.4196,0.9920,1.0000,0.7620,0.000028
27,0.4213,0.9897,0.9909,0.7608,0.000028
28,0.4080,0.9951,0.9884,0.7756,0.000028
29,0.4109,0.9928,0.9890,0.7665,0.000027
30,0.4151,0.9916,0.9965,0.7825,0.000027
31,0.4054,0.9943,0.9610,0.7847,0.000027
32,0.3996,0.9954,0.9985,0.7836,0.000027
33,0.4161,0.9871,1.0214,0.7699,0.000027
34,0.3986,0.9954,1.0302,0.7699,0.000026
35,0.4023,0.9951,1.0117,0.7802,0.000026
36,0.3914,0.9954,1.0164,0.7768,0.000026
37,0.3916,0.9958,1.0080,0.7859,0.000026
38,0.3880,0.9985,1.0120,0.7779,0.000026
39,0.3846,0.9992,1.0122,0.7711,0.000025
40,0.3848,0.9973,1.0013,0.7825,0.000025
41,0.3900,0.9951,1.0274,0.7688,0.000025
42,0.3812,0.9992,1.0068,0.7756,0.000025
43,0.3803,0.9970,1.0433,0.7665,0.000024
44,0.3823,0.9977,1.0164,0.7665,0.000024
45,0.3803,0.9981,0.9979,0.7802,0.000024
46,0.3765,0.9989,1.0325,0.7733,0.000024
47,0.3845,0.9951,1.0208,0.7699,0.000023
48,0.4023,0.9882,1.0238,0.7722,0.000023
49,0.3863,0.9954,1.0229,0.7768,0.000023
50,0.3894,0.9939,1.0246,0.7677,0.000023
51,0.3816,0.9977,0.9885,0.7756,0.000022
52,0.3725,0.9996,0.9876,0.7847,0.000022
53,0.3747,0.9989,0.9896,0.7802,0.000022
54,0.3747,0.9989,0.9667,0.7916,0.000021
55,0.3748,0.9989,0.9986,0.7916,0.000021
56,0.3797,0.9966,1.0202,0.7825,0.000021
57,0.3783,0.9985,0.9999,0.7916,0.000021
58,0.3727,0.9992,1.0062,0.7882,0.000020
59,0.3776,0.9958,1.0268,0.7825,0.000020
60,0.3717,0.9989,0.9970,0.7904,0.000020
61,0.3701,0.9992,0.9938,0.7768,0.000019
62,0.3691,0.9992,0.9973,0.7904,0.000019
63,0.3693,0.9989,1.0229,0.7790,0.000019
64,0.3690,0.9992,1.0004,0.7870,0.000018
65,0.3834,0.9951,1.0150,0.7790,0.000018
66,0.3709,0.9985,1.0279,0.7768,0.000018
67,0.3707,0.9985,1.0125,0.7859,0.000018
68,0.3722,0.9985,1.0262,0.7870,0.000017
69,0.3687,0.9989,1.0098,0.7813,0.000017
70,0.3689,0.9992,1.0122,0.7882,0.000017
71,0.3756,0.9966,1.0401,0.7790,0.000016
72,0.3667,0.9996,1.0109,0.7802,0.000016
73,0.3714,0.9970,1.0097,0.7847,0.000016
74,0.3680,0.9989,0.9956,0.7938,0.000015
75,0.3680,0.9992,1.0197,0.7779,0.000015
76,0.3672,0.9985,1.0085,0.7836,0.000015
77,0.3671,0.9977,1.0236,0.7882,0.000014
78,0.3649,0.9996,1.0024,0.7938,0.000014
79,0.3669,0.9992,1.0037,0.7882,0.000014
80,0.3650,0.9985,1.0161,0.7904,0.000013
81,0.3630,1.0000,1.0059,0.7859,0.000013
82,0.3629,1.0000,1.0155,0.7984,0.000013
83,0.3614,0.9996,1.0169,0.7893,0.000013
84,0.3624,1.0000,0.9884,0.7916,0.000012
85,0.3618,1.0000,1.0036,0.7904,0.000012
86,0.3619,0.9996,0.9839,0.8098,0.000012
87,0.3621,0.9996,1.0006,0.7938,0.000011
88,0.3605,0.9996,0.9841,0.7859,0.000011
89,0.3657,0.9977,1.0500,0.7847,0.000011
90,0.3626,0.9992,0.9966,0.7904,0.000010
91,0.3615,1.0000,0.9966,0.7870,0.000010
92,0.3607,1.0000,0.9919,0.7961,0.000010
93,0.3616,0.9989,0.9864,0.7859,0.000010
94,0.3601,1.0000,1.0160,0.7768,0.000009
95,0.3590,1.0000,0.9957,0.7870,0.000009
96,0.3612,0.9985,0.9979,0.7847,0.000009
97,0.3632,0.9996,1.0064,0.7927,0.000008
98,0.3611,0.9992,0.9917,0.7950,0.000008
99,0.3614,0.9989,1.0221,0.7836,0.000008
100,0.3600,0.9996,0.9923,0.7847,0.000008
101,0.3585,1.0000,1.0007,0.7825,0.000007
102,0.3605,0.9992,1.0028,0.7825,0.000007
103,0.3591,1.0000,1.0082,0.7847,0.000007
104,0.3591,1.0000,1.0010,0.7950,0.000006
105,0.3592,0.9996,1.0007,0.7882,0.000006
106,0.3579,0.9996,0.9778,0.7961,0.000006
107,0.3579,0.9996,0.9897,0.7927,0.000006
108,0.3579,1.0000,1.0017,0.7904,0.000005
109,0.3574,1.0000,0.9932,0.7973,0.000005
110,0.3575,1.0000,1.0105,0.7938,0.000005
111,0.3585,0.9992,0.9923,0.7961,0.000005
